pid,name,pos,sal,pts
412,James Harden,SG,12600,64.2
1,Anthony Davis,PF,12500,81.1
239,Giannis Antetokounmpo,SF,11800,59.7
240,Joel Embiid,C,10800,59.8
419,Bradley Beal,SG,10000,45.9
416,Nikola Vucevic,C,9600,38.1
8,Andre Drummond,C,9500,40.9
259,Jusuf Nurkic,C,9400,32.1
241,Ben Simmons,PG,9300,38.0
242,Damian Lillard,PG,9200,33.2
12,Blake Griffin,PF,9200,24.0
418,Clint Capela,C,9100,38.1
20,Devin Booker,SG,8700,0
16,Jrue Holiday,SG,8600,39.9
6,DeMar DeRozan,SG,8500,20.0
10,Rudy Gobert,C,8400,36.8
422,Mike Conley,PG,8400,29.4
249,Kyrie Irving,PG,8400,17.4
9,Victor Oladipo,SG,8300,23.6
40,Julius Randle,C,8200,36.6
19,Luka Doncic,SG,8100,49.7
262,John Collins,PF,8100,48.3
17,Donovan Mitchell,SG,7900,49.3
14,LaMarcus Aldridge,PF,7900,24.9
15,DeAndre Jordan,C,7800,22.9
7,Jimmy Butler,SG,7800,41.8
32,D'Angelo Russell,SG,7700,32.6
18,Deandre Ayton,C,7600,16.5
420,Marc Gasol,C,7600,52.3
250,Khris Middleton,SG,7500,33.6
421,Aaron Gordon,PF,7100,33.5
42,Kyle Kuzma,PF,7100,41.4
48,Lonzo Ball,PG,7100,34.5
35,Kris Dunn,PG,7000,34.5
63,Domantas Sabonis,PF,7000,34.9
221,Lauri Markkanen,PF,6900,30.0
28,Brandon Ingram,SF,6900,26.799999999999997
13,Zach LaVine,SG,6900,20.9
257,CJ McCollum,SG,6800,32.6
231,T.J. Warren,SF,6700,27.9
253,Trae Young,PG,6700,29.9
248,Eric Bledsoe,PG,6700,27.3
26,Elfrid Payton,PG,6600,23.1
430,Jaren Jackson Jr.,PF,6600,14.399999999999999
260,Al Horford,C,6500,23.6
30,JaVale McGee,C,6500,25.0
440,Kyle Anderson,SF,6500,27.6
73,Trevor Ariza,SF,6400,26.5
265,Jayson Tatum,PF,6300,26.8
275,Dewayne Dedmon,C,6300,27.7
56,Spencer Dinwiddie,PG,6200,29.299999999999997
283,Tristan Thompson,C,6200,23.5
481,Thomas Bryant,C,6100,22.2
64,Derrick Favors,PF,6000,14.100000000000001
21,Nikola Mirotic,SF,6000,22.3
463,Tomas Satoransky,PG,6000,33.5
49,Joe Ingles,SF,6000,30.9
202,Raul Neto,PG,5900,19.1
426,Otto Porter Jr.,SF,5900,37.2
34,Wendell Carter Jr.,PF,5900,30.7
78,Josh Hart,SG,5900,11.4
41,Jarrett Allen,C,5800,28.5
290,Brook Lopez,C,5800,28.1
276,Alex Len,C,5800,17.8
272,Malcolm Brogdon,SG,5700,34.5
