pid,name,pos,sal,pts
444,Jeff Green,SF,5700,18.5
55,Thaddeus Young,PF,5700,19.1
287,Al-Farouq Aminu,PF,5700,22.3
51,Harrison Barnes,SF,5600,31.299999999999997
38,Bobby Portis,PF,5500,19.2
280,JJ Redick,SG,5500,0
277,Gordon Hayward,SF,5500,25.0
266,Larry Nance Jr.,PF,5500,0
61,Darren Collison,PG,5500,18.0
453,Austin Rivers,SG,5400,22.8
54,DeMarre Carroll,SF,5400,19.6
79,Bojan Bogdanovic,SF,5400,18.1
288,DeAndre' Bembry,SF,5300,8.4
44,Dennis Smith Jr.,PG,5300,0
428,Evan Fournier,SG,5300,3.0
111,Derrick White,PG,5300,14.399999999999999
47,Reggie Jackson,PG,5200,26.9
306,Marcus Smart,SG,5100,13.9
291,Marcus Morris,PF,5100,34.6
299,Jordan Clarkson,SG,5000,44.8
439,Terrence Ross,SG,5000,21.0
494,PJ Tucker,PF,4900,32.1
91,Bryn Forbes,PG,4900,19.3
80,Joe Harris,SF,4900,29.799999999999997
118,Josh Jackson,PF,4800,38.7
119,Kyle O'Quinn,C,4800,19.5
370,Kevin Huerter,SG,4800,28.5
70,Wesley Matthews,SG,4700,23.9
84,Reggie Bullock,SG,4700,18.1
173,Shabazz Napier,PG,4700,27.1
71,Jae Crowder,SF,4700,14.4
400,T.J. McConnell,PG,4700,12.7
82,E'Twaun Moore,SF,4600,0
296,Evan Turner,SF,4600,20.2
98,Ed Davis,PF,4600,31.7
284,Collin Sexton,PG,4600,20.6
526,Danuel House,SF,4600,0
169,Alec Burks,SG,4500,22.0
267,Cedi Osman,SF,4500,13.3
441,D.J. Augustin,PG,4500,31.6
313,Daniel Theis,PF,4500,26.7
203,Kentavious Caldwell-Pope,SG,4500,26.2
92,J.J. Barea,PG,4400,9.8
433,Jonathan Isaac,SF,4400,19.5
315,Jeremy Lin,PG,4400,31.5
184,Rodions Kurucs,PF,4400,22.8
298,Terry Rozier,PG,4400,24.5
145,Jakob Poeltl,C,4400,8.1
393,Daniel Hamilton,SG,4300,3.8
216,Darius Miller,SF,4300,11.9
171,Mikal Bridges,SF,4300,18.8
448,Gerald Green,SF,4300,20.9
436,JaMychal Green,PF,4300,32.2
114,Dwight Powell,PF,4300,8.8
286,Jaylen Brown,SG,4300,40.9
121,Dorian Finney-Smith,SF,4200,16.7
62,Tyreke Evans,SF,4200,24.1
113,De'Anthony Melton,PG,4200,26.6
109,Marco Belinelli,SG,4100,19.1
176,Davis Bertans,SF,4100,9.2
334,Wilson Chandler,SF,4000,13.7
319,Seth Curry,PG,4000,18.2
88,Pau Gasol,C,3900,21.9
282,George Hill,PG,3800,15.9
217,Richaun Holmes,PF,3800,39.7
95,Cory Joseph,PG,3800,12.6
443,Garrett Temple,SG,3800,10.0
437,Mo Bamba,C,3800,0
103,Patty Mills,PG,3800,26.1
293,Zach Collins,PF,3800,37.8
57,Justin Holiday,SG,3800,11.6
96,Shaquille Harrison,PG,3800,13.7
138,Michael Beasley,SF,3800,31.4
358,Furkan Korkmaz,SG,3800,29.0
316,Thon Maker,C,3800,1.2
232,Bruce Brown,SG,3800,11.2
353,Kyle Korver,SG,3800,21.4
521,,C,3800,13.8
144,Luke Kennard,SG,3700,21.0
133,Jamal Crawford,SG,3700,0
297,Sam Dekker,SF,3700,17.9
72,Lance Stephenson,SF,3700,8.4
479,Omri Casspi,SF,3700,9.0
372,Jake Layman,SF,3700,4.4
357,Ante Zizic,C,3700,20.8
383,Meyers Leonard,PF,3700,20.7
478,Ian Mahinmi,C,3700,31.1
201,Tyson Chandler,C,3700,0
337,Mike Muscala,C,3700,6.2
442,Kelly Oubre Jr.,SF,3700,22.7
224,Frank Jackson,PG,3600,20.7
205,Kenrich Williams,PF,3600,4.2
485,Chasson Randle,SG,3600,6.0
112,Ryan Arcidiacono,PG,3600,4.5
127,Tim Frazier,PG,3600,12.6
363,Jonah Bolden,PF,3500,5.2
105,Chandler Hutchison,SF,3500,17.1
230,Jose Calderon,PG,3500,3.5
497,Nene,C,3500,0
227,Jared Dudley,SF,3500,8.9
86,Stanley Johnson,SF,3500,21.0
215,Devin Harris,PG,3500,0.19999999999999996
208,Troy Daniels,SG,3500,1.0
477,Jevon Carter,PG,3500,0
234,Naz Mitrou-Long,SG,3500,0
450,Jerian Grant,PG,3500,0
222,TJ Leaf,PF,3500,10.9
360,Justin Anderson,SG,3500,0
137,Langston Galloway,SG,3500,20.1
397,Channing Frye,PF,3500,5.7
179,Dante Cunningham,SF,3500,11.4
198,Glenn Robinson III,SF,3500,1.5
209,Treveon Graham,SG,3500,21.0
163,Robin Lopez,C,3500,10.9
74,Dirk Nowitzki,PF,3500,0
457,James Ennis III,SF,3500,4.2
174,Jon Leuer,PF,3500,8.1
377,Landry Shamet,PG,3500,5.4
520,,SG,3500,14.5
484,Wes Iwundu,SF,3500,8.9
104,Maxi Kleber,PF,3500,33.3
177,Elie Okobo,PG,3500,17.3
233,Svi Mykhailiuk,SG,3500,3.0
471,Brandon Knight,PG,3500,4.2
387,Sterling Brown,SG,3500,25.6
115,Doug McDermott,SF,3500,9.4
323,Tony Snell,SG,3500,5.5
68,Cameron Payne,PG,3500,18.0
335,Vince Carter,SF,3500,11.4
97,Antonio Blakeney,SG,3500,14.7
345,Matthew Dellavedova,PG,3500,31.299999999999997
186,Jahlil Okafor,C,3500,15.9
447,Jonathon Simmons,SF,3500,0
219,Royce O'Neale,SF,3500,12.4
274,Ersan Ilyasova,PF,3500,17.4
