pid,name,pos,sal,pts
412,James Harden,SG,11900,41.5
239,Giannis Antetokounmpo,SF,11700,78.6
2,LeBron James,SF,11500,51.4
240,Joel Embiid,C,10400,68.8
241,Ben Simmons,PG,10000,46.1
3,Kevin Durant,SF,9900,53.1
413,Kawhi Leonard,SF,9400,53.0
414,John Wall,PG,9400,20.4
5,Stephen Curry,PG,9300,61.3
11,Karl-Anthony Towns,C,9200,33.1
14,LaMarcus Aldridge,PF,9100,35.6
7,Jimmy Butler,SG,8900,51.3
245,Kevin Love,PF,8500,32.2
417,Kyle Lowry,PG,8400,41.2
244,Kemba Walker,PG,8400,40.6
15,DeAndre Jordan,C,8300,36.7
19,Luka Doncic,SG,8300,37.8
9,Victor Oladipo,SG,8200,44.5
6,DeMar DeRozan,SG,8200,26.6
10,Rudy Gobert,C,8100,38.6
419,Bradley Beal,SG,8000,35.6
418,Clint Capela,C,8000,31.4
20,Devin Booker,SG,8000,37.9
17,Donovan Mitchell,SG,8000,51.5
501,Hassan Whiteside,C,7900,46.8
253,Trae Young,PG,7800,27.299999999999997
246,De'Aaron Fox,PG,7800,46.6
420,Marc Gasol,C,7700,29.0
18,Deandre Ayton,C,7700,48.7
422,Mike Conley,PG,7700,41.7
248,Eric Bledsoe,PG,7700,37.4
22,Draymond Green,PF,7700,27.0
13,Zach LaVine,SG,7700,41.3
250,Khris Middleton,SG,7600,36.8
29,Enes Kanter,C,7200,19.5
42,Kyle Kuzma,PF,7200,26.3
254,Willie Cauley-Stein,C,7200,34.0
256,Taurean Prince,SF,7200,31.299999999999997
32,D'Angelo Russell,PG,7100,30.2
48,Lonzo Ball,PG,7000,33.4
27,Caris LeVert,SG,6900,24.2
44,Dennis Smith Jr.,PG,6900,37.4
267,Cedi Osman,SF,6900,16.2
502,Josh Richardson,SF,6900,31.1
38,Bobby Portis,PF,6900,15.899999999999999
258,Kent Bazemore,SG,6700,55.1
33,Tim Hardaway Jr.,SG,6700,20.6
49,Joe Ingles,SF,6600,22.7
43,Jeff Teague,PG,6500,29.9
503,Goran Dragic,PG,6500,22.5
430,Jaren Jackson Jr.,PF,6500,32.4
261,Nicolas Batum,SF,6500,25.6
78,Josh Hart,SG,6400,25.4
41,Jarrett Allen,C,6400,30.1
426,Otto Porter Jr.,SF,6400,19.7
39,Klay Thompson,SG,6400,24.9
30,JaVale McGee,C,6000,45.2
50,Rondae Hollis-Jefferson,PF,6000,19.6
46,Ricky Rubio,PG,6000,15.399999999999999
31,Rudy Gay,SF,6000,27.0
263,Robert Covington,SF,5900,14.899999999999999
89,Trey Burke,PG,5900,8.0
247,Buddy Hield,SG,5900,31.4
278,Dario Saric,PF,5800,22.4
272,Malcolm Brogdon,SG,5800,16.1
276,Alex Len,C,5800,27.9
23,Jabari Parker,SF,5800,30.799999999999997
279,Markelle Fultz,SG,5800,15.0
435,Markieff Morris,PF,5700,21.8
231,T.J. Warren,SF,5700,12.1
431,Eric Gordon,SG,5600,22.3
56,Spencer Dinwiddie,PG,5600,10.1
290,Brook Lopez,C,5600,29.7
427,Jonas Valanciunas,C,5500,28.799999999999997
53,Myles Turner,C,5500,24.2
70,Wesley Matthews,SG,5400,28.6
282,George Hill,PG,5400,9.6
423,Serge Ibaka,PF,5400,22.9
509,Dwyane Wade,SG,5300,16.4
255,Nemanja Bjelica,SF,5300,45.7
64,Derrick Favors,PF,5300,25.6
73,Trevor Ariza,SF,5200,20.4
273,Jeremy Lamb,SG,5200,26.1
34,Wendell Carter Jr.,PF,5200,22.4
275,Dewayne Dedmon,C,5200,15.0
280,JJ Redick,SG,5200,27.4
271,Marvin Bagley III,PF,5000,20.7
266,Larry Nance Jr.,SF,5000,21.2
62,Tyreke Evans,SF,5000,35.5
57,Justin Holiday,SG,5000,20.2
59,Taj Gibson,PF,4900,21.7
55,Thaddeus Young,PF,4900,19.0
434,Danny Green,SG,4900,17.3
63,Domantas Sabonis,PF,4900,43.0
301,Malik Monk,SG,4800,13.9
299,Jordan Clarkson,SG,4700,20.5
100,Mario Hezonja,SF,4700,13.7
268,Rodney Hood,SG,4700,13.6
114,Dwight Powell,PF,4700,18.8
283,Tristan Thompson,C,4700,20.2
61,Darren Collison,PG,4600,14.5
429,Pascal Siakam,PF,4600,27.3
424,Carmelo Anthony,SF,4600,39.4
508,Justise Winslow,SF,4600,0.0
305,Michael Kidd-Gilchrist,SF,4600,11.4
71,Jae Crowder,SF,4600,23.7
511,Bam Adebayo,C,4500,15.3
67,Frank Ntilikina,PG,4500,17.1
92,J.J. Barea,PG,4500,24.9
506,Rodney McGruder,SG,4500,36.7
58,Derrick Rose,PG,4500,25.1
494,PJ Tucker,PF,4500,32.6
295,Cody Zeller,C,4500,24.2
80,Joe Harris,SG,4400,27.2
88,Pau Gasol,C,4400,11.4
404,Willy Hernangomez,C,4400,13.0
93,Isaiah Canaan,PG,4400,10.0
300,Marvin Williams,PF,4400,31.1
96,Shaquille Harrison,PG,4400,0.0
118,Josh Jackson,PF,4400,17.4
60,Noah Vonleh,PF,4300,19.799999999999997
79,Bojan Bogdanovic,SF,4300,12.3
91,Bryn Forbes,PG,4300,22.4
121,Dorian Finney-Smith,SF,4300,13.2
307,John Henson,PF,4200,18.2
442,Kelly Oubre Jr.,SF,4200,18.8
95,Cory Joseph,PG,4200,28.2
161,Damian Jones,C,4200,11.6
445,Shelvin Mack,PG,4200,13.1
440,Kyle Anderson,SF,4100,19.299999999999997
