pid,name,pos,sal,pts
274,Ersan Ilyasova,PF,4100,14.0
69,Damyean Dotson,SG,4100,40.0
94,Allen Crabbe,SG,4000,3.2
117,Gorgui Dieng,C,4000,5.6
407,JR Smith,SG,3900,11.2
400,T.J. McConnell,PG,3900,2.0
443,Garrett Temple,SG,3900,17.0
449,Delon Wright,PG,3900,3.0
75,Josh Okogie,SG,3900,25.7
504,Kelly Olynyk,PF,3900,26.6
103,Patty Mills,PG,3900,1.7999999999999998
331,Justin Jackson,SF,3900,23.2
288,DeAndre' Bembry,SF,3900,44.7
370,Kevin Huerter,SG,3900,7.300000000000001
98,Ed Davis,C,3900,21.0
128,Kevon Looney,PF,3900,15.5
72,Lance Stephenson,SF,3900,47.6
108,Andre Iguodala,SG,3900,7.6
284,Collin Sexton,PG,3900,17.1
352,Amir Johnson,PF,3800,4.4
368,Yogi Ferrell,PG,3800,4.5
405,Frank Mason,SG,3800,9.4
97,Antonio Blakeney,SG,3800,5.5
410,Harry Giles III,PF,3800,0.40000000000000036
109,Marco Belinelli,SG,3800,24.4
104,Maxi Kleber,PF,3800,23.8
185,Tyus Jones,PG,3800,9.7
138,Michael Beasley,SF,3700,0.0
116,Allonzo Trier,SG,3700,11.0
473,MarShon Brooks,SG,3700,11.9
377,Landry Shamet,PG,3700,5.0
369,Omari Spellman,PF,3700,9.0
444,Jeff Green,SF,3700,20.1
381,Alex Poythress,PF,3700,2.2
456,OG Anunoby,SF,3700,19.5
145,Jakob Poeltl,C,3700,6.0
448,Gerald Green,SF,3700,9.4
179,Dante Cunningham,SF,3700,3.2
315,Jeremy Lin,PG,3700,4.0
68,Cameron Payne,PG,3700,36.0
203,Kentavious Caldwell-Pope,SG,3700,19.9
227,Jared Dudley,SF,3700,17.7
171,Mikal Bridges,SF,3700,9.5
119,Kyle O'Quinn,C,3700,4.7
199,Johnathan Williams,PF,3700,14.5
496,CJ Miles,SF,3600,5.4
479,Omri Casspi,SF,3600,12.1
141,Shaun Livingston,PG,3600,15.399999999999999
135,Dante Exum,PG,3600,10.5
453,Austin Rivers,SG,3600,12.1
176,Davis Bertans,SF,3600,12.3
169,Alec Burks,SG,3600,7.4
463,Tomas Satoransky,PG,3500,15.399999999999999
130,Quinn Cook,PG,3500,10.5
489,Isaiah Hartenstein,PF,3500,0.0
341,Skal Labissiere,PF,3500,0.0
163,Robin Lopez,C,3500,0.0
466,Lorenzo Brown,PG,3500,4.2
182,Dzanan Musa,SF,3500,4.0
488,Norman Powell,SF,3500,16.2
335,Vince Carter,SG,3500,15.0
213,Ryan Broekhoff,PF,3500,1.2
115,Doug McDermott,SF,3500,15.7
133,Jamal Crawford,SG,3500,8.5
337,Mike Muscala,C,3500,13.3
510,Tyler Johnson,PG,3500,24.8
446,Michael Carter-Williams,PG,3500,12.0
178,Jalen Brunson,PG,3500,12.5
357,Ante Zizic,PF,3500,1.4
353,Kyle Korver,SG,3500,9.7
323,Tony Snell,SG,3500,9.2
172,Ron Baker,SG,3500,3.0
495,Wayne Selden,SG,3500,18.2
318,Donte DiVincenzo,SG,3500,20.2
304,Tony Parker,PG,3500,15.4
219,Royce O'Neale,SF,3500,3.4000000000000004
308,Miles Bridges,SF,3500,10.4
160,Georges Niang,PF,3500,4.4
136,Jordan Bell,C,3500,21.1
124,Ryan Anderson,PF,3500,14.6
102,Anthony Tolliver,PF,3500,23.2
228,Lance Thomas,SF,3500,19.2
455,Jason Smith,PF,3500,17.8
112,Ryan Arcidiacono,PG,3500,12.2
146,Theo Pinson,SF,3500,1.5
105,Chandler Hutchison,SF,3500,8.2
233,Svi Mykhailiuk,SG,3500,12.0
187,Grayson Allen,SG,3500,0.0
201,Tyson Chandler,C,3500,26.2
